publish,score,title
海明威 / 吴劳 / 上海译文出版社 / 1999-10 / 8.20元,8.4,老人与海
[日] 村上春树 / 林少华 / 上海译文出版社 / 2002-12 / 23.00元,8.6,世界尽头与冷酷仙境
迟子建 / 北京十月文艺出版社 / 2005-12-1 / 29.00元,9.0,额尔古纳河右岸
[德] 帕·聚斯金德 / 李清华 / 上海译文出版社 / 2005-5 / 20.00元,8.5,香水
[美] 罗伯特·西奥迪尼 / 陈叙 / 中国人民大学出版社 / 2006-5 / 45.00元,8.6,影响力
金宇澄 / 上海文艺出版社 / 2013-3 / 48.00元,8.7,繁花
三浦紫苑 / 林佩瑾 / 广西师范大学出版社 / 2015-1-1 / 39.00元,9.0,强风吹拂
[日] 乙一 / 李颖秋 / 当代世界出版社 / 2007-10 / 20.00元,8.6,ZOO
[英] 石黑一雄 / 冯涛 / 上海译文出版社 / 2018-5 / 48.00元,8.9,长日将尽
[美] 安迪·威尔 / 陈灼 / 译林出版社 / 2015-10 / 38.00,8.9,火星救援
[日] 三岛由纪夫 / 唐月梅 / 上海译文出版社 / 2009-1 / 24.00,8.7,金阁寺
[德]赫尔曼·黑塞 / 赵登荣 / 上海译文出版社 / 2008-7 / 13.00,9.0,荒原狼
[美] 特德·姜 / 李克勤 / 译林出版社 / 2015-5 / 36.00元,8.7,你一生的故事
[日] 是枝裕和 / 郑有杰 / 北京联合出版公司 / 2017-5 / 36.80元,8.7,步履不停
古龙 / 海天出版社 / 1991-12-01 / 49.8,8.7,多情剑客无情剑(上、中、下)
三毛 / 北京十月文艺出版社 / 2009-3 / 18.00元,8.9,稻草人手记
[英] 莎士比亚 / 朱生豪 / 人民文学出版社 / 2001-1 / 7.00元,8.6,哈姆莱特
老舍 / 人民文学出版社 / 2000-3-1 / 12.00,8.4,骆驼祥子
[奥] 斯蒂芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 23.00元,9.1,象棋的故事
[美] 悉达多·穆克吉 / 李虎 / 中信出版社 / 2013-2 / 42.00元,9.1,众病之王
卢梭 / 何兆武 / 商务印书馆 / 2003-2-1 / 18.00元,8.8,社会契约论
[法国] 儒尔·凡尔纳 / 沈国华 / 译林出版社 / 2002-9 / 19.50元,8.5,海底两万里
[白俄] S. A. 阿列克谢耶维奇 / 吕宁思 / 中信出版集团 / 2016-1 / 55.00元,8.8,二手时间
岸见一郎 / 渠海霞 / 机械工业出版社 / 2015-3-1 / 39.8,8.6,被讨厌的勇气
[日]冈岛二人 / 张舟 / 化学工业出版社 / 2019-11 / 48.00元,8.8,克莱因壶
[美] 埃里克·霍弗 / 梁永安 / 广西师范大学出版社 / 2011-6 / 34.00元,8.9,狂热分子
[美] 理查德·费曼 / 吴程远 / 生活·读书·新知三联书店 / 1997-12 / 22.00元,8.9,别闹了，费曼先生
[日]凑佳苗 / 丁世佳 / 哈尔滨出版社 / 2010-7 / 26.00元,8.5,告白
[美] 保罗·卡拉尼什 / 何雨珈 / 猫头鹰文化·浙江文艺出版社 / 2016-12 / 48.00元,8.8,当呼吸化为空气
[英] 威廉·萨默塞特·毛姆 / 冯亦代 / 译林出版社 / 2012-11 / 36.00元,9.1,毛姆短篇小说精选集
[瑞典] 阿斯特丽德·林格伦 / 李之义 / 中国少年儿童出版社 / 1999-3 / 17.80元,9.0,长袜子皮皮
汤显祖 / 人民文学出版社 / 1963-4-1 / 14.50元,9.0,牡丹亭
[美] 斯科特·菲茨杰拉德 / 邓若虚 / 南海出版公司 / 2012-5 / 25.00元,8.7,了不起的盖茨比
[日] 高野和明 / 赵建勋 / 上海文艺出版社 / 2020-5-15 / 42.00元,8.7,消失的13级台阶
[英] 肯·福莱特 / 陈杰 / 江苏凤凰文艺出版社 / 2017-3-1 / 132.00（全三册）,8.8,世界的凛冬
古龙 / 珠海出版社 / 2005-8 / 28.00元,8.8,欢乐英雄
阿来 / 人民文学出版社 / 1998-3-1 / 22.0,8.5,尘埃落定
艾米莉·勃朗特 / 张扬 / 人民文学出版社 / 1999-01-01 / 27.30元,8.4,呼啸山庄
[英] 罗素 / 何兆武 / 商务印书馆 / 1963-9 / 25.00,8.9,西方哲学史（上卷）
紫金陈 / 云南人民出版社 / 2017-1 / 42.00元,8.5,长夜难明
弗里德利希・冯・哈耶克 / 王明毅 / 中国社会科学出版社 / 1997-08-01 / 16.00,8.8,通往奴役之路
严歌苓 / 作家出版社 / 2008-4 / 28.00元,8.6,小姨多鹤
[美] 卡森·麦卡勒斯 / 陈笑黎 / 上海三联书店 / 2005-8 / 25.00元,8.5,心是孤独的猎手
[意] 伊塔洛·卡尔维诺 / 吴正仪 / 译林出版社 / 2012-4 / 22.00元,8.9,不存在的骑士
[美] 尼尔·波兹曼 / 章艳 / 广西师范大学出版社 / 2011-6 / 29.80元,8.5,娱乐至死
(捷克) 赫拉巴尔 / 杨乐云 / 北京十月文艺出版社 / 2011-10 / 22.00元,8.8,过于喧嚣的孤独
[意] 伊塔洛·卡尔维诺 / 吴正仪 / 译林出版社 / 2012-4-1 / 20.00元,8.7,分成两半的子爵
